GFund,FFund,CFund,SFund,IFund,Date
10.02,9.97,10.2,10.26,10.22,2003-07-01
10.02,9.97,10.32,10.43,10.39,2003-07-02
10.02,9.94,10.24,10.39,10.49,2003-07-03
10.03,9.92,10.43,10.58,10.56,2003-07-07
10.03,9.91,10.47,10.7,10.53,2003-07-08
10.03,9.92,10.41,10.74,10.5,2003-07-09
10.03,9.94,10.27,10.59,10.43,2003-07-10
10.03,9.95,10.37,10.68,10.42,2003-07-11
10.03,9.93,10.43,10.8,10.55,2003-07-14
10.04,9.86,10.4,10.75,10.46,2003-07-15
10.04,9.86,10.33,10.67,10.38,2003-07-16
10.04,9.85,10.2,10.44,10.23,2003-07-17
10.04,9.85,10.32,10.52,10.26,2003-07-18
10.04,9.78,10.17,10.4,10.27,2003-07-21
10.04,9.79,10.27,10.5,10.3,2003-07-22
10.04,9.81,10.27,10.54,10.39,2003-07-23
10.04,9.79,10.2,10.52,10.55,2003-07-24
10.05,9.78,10.38,10.59,10.54,2003-07-25
10.05,9.74,10.36,10.66,10.62,2003-07-28
10.05,9.69,10.28,10.66,10.6,2003-07-29
10.05,9.72,10.27,10.65,10.49,2003-07-30
10.05,9.63,10.3,10.69,10.47,2003-07-31
10.05,9.63,10.19,10.56,10.42,2003-08-01
10.06,9.66,10.22,10.51,10.39,2003-08-04
10.06,9.63,10.04,10.37,10.43,2003-08-05
10.06,9.7,10.06,10.31,10.33,2003-08-06
10.06,9.73,10.13,10.32,10.37,2003-08-07
10.06,9.74,10.17,10.34,10.4,2003-08-08
10.06,9.71,10.2,10.43,10.47,2003-08-11
10.07,9.71,10.3,10.56,10.51,2003-08-12
10.07,9.63,10.24,10.56,10.57,2003-08-13
10.07,9.62,10.31,10.62,10.69,2003-08-14
10.07,9.64,10.31,10.65,10.69,2003-08-15
10.07,9.66,10.41,10.79,10.73,2003-08-18
10.07,9.71,10.43,10.91,10.73,2003-08-19
10.08,9.69,10.41,10.93,10.78,2003-08-20
10.08,9.66,10.44,11.03,10.78,2003-08-21
10.08,9.68,10.34,10.9,10.74,2003-08-22
10.08,9.66,10.34,10.85,10.69,2003-08-25
10.08,9.67,10.38,10.88,10.61,2003-08-26
10.08,9.66,10.38,10.96,10.66,2003-08-27
10.09,9.7,10.44,11.07,10.69,2003-08-28
10.09,9.7,10.5,11.13,10.72,2003-08-29
10.09,9.64,10.64,11.28,10.84,2003-09-02
10.09,9.64,10.69,11.33,10.96,2003-09-03
10.09,9.68,10.71,11.37,10.97,2003-09-04
10.1,9.76,10.64,11.31,11.02,2003-09-05
10.1,9.75,10.75,11.45,11.12,2003-09-08
10.1,9.76,10.66,11.37,11.14,2003-09-09
10.1,9.8,10.53,11.14,11.05,2003-09-10
10.1,9.78,10.59,11.22,11.0,2003-09-11
10.1,9.81,10.62,11.26,11.08,2003-09-12
10.11,9.82,10.58,11.23,11.1,2003-09-15
10.11,9.81,10.73,11.37,11.18,2003-09-16
10.11,9.85,10.69,11.36,11.27,2003-09-17
10.11,9.85,10.83,11.48,11.39,2003-09-18
10.11,9.85,10.8,11.5,11.38,2003-09-19
10.12,9.83,10.66,11.37,11.3,2003-09-22
10.12,9.84,10.72,11.47,11.29,2003-09-23
10.12,9.87,10.52,11.28,11.29,2003-09-24
10.12,9.89,10.46,11.09,11.2,2003-09-25
10.12,9.92,10.39,10.93,11.12,2003-09-26
10.13,9.9,10.49,11.05,11.1,2003-09-29
10.13,9.96,10.38,10.98,11.05,2003-09-30
10.13,9.96,10.62,11.19,11.26,2003-10-01
10.13,9.93,10.64,11.26,11.37,2003-10-02
10.13,9.85,10.74,11.42,11.54,2003-10-03
10.13,9.88,10.79,11.51,11.55,2003-10-06
10.13,9.84,10.84,11.57,11.61,2003-10-07
10.14,9.85,10.79,11.52,11.56,2003-10-08
10.14,9.83,10.84,11.61,11.68,2003-10-09
10.14,9.85,10.83,11.6,11.75,2003-10-10
10.14,9.82,10.95,11.8,11.8,2003-10-14
10.14,9.8,10.92,11.72,11.82,2003-10-15
10.14,9.78,10.96,11.78,11.87,2003-10-16
10.15,9.8,10.85,11.61,11.81,2003-10-17
10.15,9.81,10.9,11.62,11.84,2003-10-20
10.15,9.82,10.92,11.69,11.87,2003-10-21
10.15,9.85,10.75,11.49,11.77,2003-10-22
10.15,9.84,10.79,11.46,11.53,2003-10-23
10.15,9.88,10.74,11.42,11.57,2003-10-24
10.16,9.86,10.76,11.56,11.65,2003-10-27
10.16,9.9,10.93,11.74,11.71,2003-10-28
10.16,9.87,10.94,11.83,11.79,2003-10-29
10.16,9.84,10.93,11.82,11.83,2003-10-30
10.16,9.86,10.97,11.82,11.72,2003-10-31
10.16,9.84,11.06,11.98,11.72,2003-11-03
10.17,9.86,11.0,11.98,11.82,2003-11-04
10.17,9.84,10.99,12.0,11.74,2003-11-05
10.17,9.81,11.05,12.07,11.66,2003-11-06
10.17,9.8,11.0,12.08,11.81,2003-11-07
10.17,9.83,10.94,11.93,11.77,2003-11-10
10.18,9.84,11.06,12.07,11.76,2003-11-12
10.18,9.89,11.06,12.09,11.89,2003-11-13
10.18,9.93,10.98,11.96,11.93,2003-11-14
10.18,9.95,10.91,11.85,11.68,2003-11-17
10.18,9.95,10.81,11.76,11.78,2003-11-18
10.18,9.92,10.9,11.81,11.67,2003-11-19
10.19,9.95,10.81,11.75,11.71,2003-11-20
10.19,9.95,10.82,11.8,11.74,2003-11-21
10.19,9.92,11.0,12.04,11.77,2003-11-24
10.19,9.94,11.02,12.13,11.82,2003-11-25
10.19,9.92,11.07,12.18,11.94,2003-11-26
10.19,9.89,11.07,12.23,11.98,2003-11-28
10.2,9.86,11.19,12.38,12.15,2003-12-01
10.2,9.87,11.16,12.37,12.23,2003-12-02
10.2,9.86,11.14,12.24,12.29,2003-12-03
10.2,9.88,11.19,12.2,12.27,2003-12-04
10.2,9.96,11.11,12.11,12.26,2003-12-05
10.21,9.94,11.19,12.18,12.23,2003-12-08
10.21,9.9,11.09,12.03,12.28,2003-12-09
10.21,9.92,11.08,11.91,12.17,2003-12-10
10.21,9.96,11.21,12.14,12.18,2003-12-11
10.21,9.96,11.24,12.21,12.3,2003-12-12
10.22,9.95,11.18,12.04,12.41,2003-12-15
10.22,9.97,11.25,12.05,12.34,2003-12-16
10.22,9.99,11.27,12.07,12.35,2003-12-17
10.22,10.01,11.4,12.23,12.42,2003-12-18
10.22,10.01,11.4,12.23,12.46,2003-12-19
10.22,10.0,11.44,12.28,12.51,2003-12-22
10.23,9.96,11.47,12.36,12.56,2003-12-23
10.23,9.99,11.45,12.35,12.61,2003-12-24
10.23,10.01,11.47,12.38,12.63,2003-12-26
10.23,9.99,11.62,12.54,12.7,2003-12-29
10.23,9.98,11.62,12.57,12.82,2003-12-30
10.24,9.99,11.65,12.48,12.9,2003-12-31
10.24,9.94,11.61,12.5,12.99,2004-01-02
10.24,9.95,11.76,12.64,13.17,2004-01-05
10.24,9.99,11.77,12.67,13.22,2004-01-06
10.24,10.01,11.8,12.74,13.12,2004-01-07
10.25,10.01,11.86,12.79,13.25,2004-01-08
10.25,10.08,11.76,12.76,13.31,2004-01-09
10.25,10.08,11.81,12.87,13.27,2004-01-12
10.25,10.1,11.75,12.83,13.26,2004-01-13
10.25,10.11,11.85,12.91,13.28,2004-01-14
10.25,10.12,11.86,12.93,13.17,2004-01-15
10.25,10.11,11.94,13.04,13.13,2004-01-16
10.26,10.1,11.93,13.16,13.28,2004-01-20
10.26,10.11,12.03,13.18,13.45,2004-01-21
10.26,10.13,11.99,13.13,13.47,2004-01-22
10.26,10.09,11.96,13.17,13.45,2004-01-23
10.27,10.07,12.11,13.28,13.41,2004-01-26
10.27,10.09,11.99,13.18,13.36,2004-01-27
10.27,10.04,11.83,12.96,13.24,2004-01-28
10.27,10.04,11.89,12.88,13.08,2004-01-29
10.27,10.07,11.86,12.92,13.07,2004-01-30
10.28,10.07,11.9,12.93,13.1,2004-02-02
10.28,10.09,11.91,12.9,13.15,2004-02-03
10.28,10.08,11.81,12.69,13.03,2004-02-04
10.28,10.06,11.84,12.74,13.09,2004-02-05
10.28,10.1,11.98,13.0,13.25,2004-02-06
10.28,10.11,11.96,13.05,13.34,2004-02-09
10.28,10.1,12.02,13.16,13.36,2004-02-10
10.29,10.14,12.15,13.27,13.44,2004-02-11
10.29,10.12,12.09,13.21,13.5,2004-02-12
10.29,10.14,12.03,13.12,13.49,2004-02-13
10.29,10.14,12.14,13.26,13.66,2004-02-17
10.29,10.14,12.09,13.21,13.64,2004-02-18
10.29,10.15,12.04,13.08,13.65,2004-02-19
10.3,10.13,12.01,13.02,13.45,2004-02-20
10.3,10.15,11.98,12.86,13.49,2004-02-23
10.3,10.16,11.96,12.86,13.43,2004-02-24
10.3,10.16,12.01,12.99,13.36,2004-02-25
10.3,10.15,12.02,13.09,13.29,2004-02-26
10.31,10.18,12.02,13.15,13.36,2004-02-27
10.31,10.18,12.14,13.32,13.56,2004-03-01
10.31,10.16,12.07,13.27,13.49,2004-03-02
10.31,10.15,12.09,13.26,13.31,2004-03-03
10.31,10.17,12.13,13.37,13.39,2004-03-04
10.31,10.25,12.15,13.43,13.58,2004-03-05
10.32,10.27,12.05,13.31,13.53,2004-03-08
10.32,10.28,11.98,13.19,13.4,2004-03-09
10.32,10.28,11.81,12.97,13.24,2004-03-10
10.32,10.28,11.63,12.82,13.05,2004-03-11
10.32,10.27,11.78,13.04,13.08,2004-03-12
10.32,10.27,11.61,12.79,12.89,2004-03-15
10.32,10.3,11.67,12.78,13.06,2004-03-16
10.33,10.3,11.81,12.98,13.25,2004-03-17
10.33,10.28,11.8,12.93,13.23,2004-03-18
10.33,10.27,11.67,12.86,13.13,2004-03-19
10.33,10.29,11.52,12.64,12.97,2004-03-22
10.33,10.3,11.5,12.65,13.02,2004-03-23
10.33,10.3,11.47,12.6,12.99,2004-03-24
10.33,10.29,11.66,12.83,13.19,2004-03-25
10.34,10.25,11.65,12.86,13.15,2004-03-26
10.34,10.23,11.8,13.05,13.3,2004-03-29
10.34,10.23,11.85,13.15,13.32,2004-03-30
10.34,10.25,11.84,13.2,13.44,2004-03-31
10.34,10.23,11.91,13.33,13.61,2004-04-01
10.34,10.13,12.01,13.44,13.6,2004-04-02
10.35,10.1,12.1,13.51,13.65,2004-04-05
10.35,10.13,12.08,13.39,13.58,2004-04-06
10.35,10.13,12.0,13.41,13.67,2004-04-07
10.35,10.12,11.99,13.36,13.65,2004-04-08
10.35,10.11,12.05,13.37,13.7,2004-04-12
10.36,10.07,11.88,13.12,13.55,2004-04-13
10.36,10.05,11.87,13.05,13.35,2004-04-14
10.36,10.04,11.88,13.02,13.29,2004-04-15
10.36,10.06,11.94,13.08,13.44,2004-04-16
10.36,10.06,11.95,13.16,13.42,2004-04-19
10.36,10.04,11.76,12.96,13.32,2004-04-20
10.36,10.02,11.83,13.06,13.3,2004-04-21
10.37,10.05,11.99,13.27,13.46,2004-04-22
10.37,10.01,12.0,13.23,13.39,2004-04-23
10.37,10.02,11.95,13.21,13.46,2004-04-26
10.37,10.03,11.98,13.21,13.45,2004-04-27
10.37,10.01,11.81,12.99,13.19,2004-04-28
10.37,9.97,11.73,12.8,13.15,2004-04-29
10.37,9.99,11.66,12.68,13.13,2004-04-30
10.38,9.98,11.76,12.78,13.16,2004-05-03
10.38,9.97,11.79,12.83,13.32,2004-05-04
10.38,9.95,11.81,12.88,13.44,2004-05-05
10.38,9.92,11.73,12.72,13.19,2004-05-06
10.38,9.84,11.57,12.45,12.87,2004-05-07
10.39,9.84,11.45,12.19,12.46,2004-05-10
10.39,9.86,11.54,12.38,12.53,2004-05-11
10.39,9.86,11.56,12.36,12.68,2004-05-12
10.39,9.83,11.55,12.36,12.55,2004-05-13
10.39,9.86,11.55,12.31,12.5,2004-05-14
10.4,9.91,11.42,12.16,12.39,2004-05-17
10.4,9.89,11.5,12.29,12.48,2004-05-18
10.4,9.87,11.47,12.27,12.72,2004-05-19
10.4,9.9,11.48,12.28,12.65,2004-05-20
10.4,9.88,11.53,12.35,12.81,2004-05-21
10.4,9.89,11.55,12.47,12.83,2004-05-24
10.41,9.9,11.73,12.71,13.0,2004-05-25
10.41,9.93,11.75,12.79,12.98,2004-05-26
10.41,9.97,11.82,12.83,13.2,2004-05-27
10.41,9.94,11.82,12.87,13.17,2004-05-28
10.41,9.92,11.82,12.92,13.15,2004-06-01
10.41,9.91,11.87,12.95,13.2,2004-06-02
10.42,9.92,11.78,12.76,13.12,2004-06-03
10.42,9.9,11.84,12.85,13.2,2004-06-04
10.42,9.91,12.03,13.06,13.53,2004-06-07
10.42,9.91,12.05,13.04,13.46,2004-06-08
10.42,9.89,11.93,12.87,13.23,2004-06-09
10.43,9.89,11.99,12.88,13.36,2004-06-10
10.43,9.85,11.87,12.7,13.15,2004-06-14
10.43,9.94,11.95,12.86,13.33,2004-06-15
10.43,9.92,11.96,12.89,13.31,2004-06-16
10.43,9.94,11.95,12.89,13.35,2004-06-17
10.44,9.94,11.98,12.88,13.41,2004-06-18
10.44,9.95,11.93,12.85,13.43,2004-06-21
10.44,9.94,11.97,12.91,13.31,2004-06-22
10.44,9.95,12.07,13.05,13.42,2004-06-23
10.44,9.97,12.04,13.04,13.54,2004-06-24
10.45,9.98,11.97,13.13,13.5,2004-06-25
10.45,9.94,11.96,13.07,13.63,2004-06-28
10.45,9.96,12.0,13.12,13.51,2004-06-29
10.45,10.0,12.04,13.22,13.55,2004-06-30
