Year,Month,GFund,FFund,CFund,SFund,IFund,Date
1987,April,0.6,,,,,1987-04-01
1987,May,0.63,,,,,1987-05-01
1987,June,0.75,,,,,1987-06-01
1987,July,0.71,,,,,1987-07-01
1987,August,0.73,,,,,1987-08-01
1987,September,0.65,,,,,1987-09-01
1987,October,0.8,,,,,1987-10-01
1987,November,0.69,,,,,1987-11-01
1987,December,0.69,,,,,1987-12-01
1988,January,0.69,-0.06,-0.2,,,1988-01-01
1988,February,0.62,0.81,4.82,,,1988-02-01
1988,March,0.66,-0.8,-3.47,,,1988-03-01
1988,April,0.68,-0.46,0.73,,,1988-04-01
1988,May,0.71,-0.63,1.42,,,1988-05-01
1988,June,0.72,1.97,4.08,,,1988-06-01
1988,July,0.72,-0.49,-0.24,,,1988-07-01
1988,August,0.76,0.33,-2.74,,,1988-08-01
1988,September,0.76,2.07,4.12,,,1988-09-01
1988,October,0.75,1.68,2.53,,,1988-10-01
1988,November,0.68,-1.09,-1.23,,,1988-11-01
1988,December,0.74,0.31,1.78,,,1988-12-01
1989,January,0.76,1.27,7.14,,,1989-01-01
1989,February,0.67,-0.68,-2.51,,,1989-02-01
1989,March,0.78,0.5,2.21,,,1989-03-01
1989,April,0.75,2.05,5.14,,,1989-04-01
1989,May,0.76,2.42,3.98,,,1989-05-01
1989,June,0.7,3.19,-0.58,,,1989-06-01
1989,July,0.69,2.06,8.83,,,1989-07-01
1989,August,0.66,-1.48,1.98,,,1989-08-01
1989,September,0.68,0.37,-0.29,,,1989-09-01
1989,October,0.71,2.45,-2.33,,,1989-10-01
1989,November,0.65,0.86,2.05,,,1989-11-01
1989,December,0.67,0.16,2.37,,,1989-12-01
1990,January,0.68,-1.38,-6.59,,,1990-01-01
1990,February,0.64,0.21,1.26,,,1990-02-01
1990,March,0.72,0.01,2.64,,,1990-03-01
1990,April,0.71,-0.94,-2.52,,,1990-04-01
1990,May,0.76,2.8,9.44,,,1990-05-01
1990,June,0.71,1.56,-0.71,,,1990-06-01
1990,July,0.72,1.24,-0.36,,,1990-07-01
1990,August,0.72,-1.42,-8.65,,,1990-08-01
1990,September,0.73,0.81,-4.85,,,1990-09-01
1990,October,0.76,1.32,-0.46,,,1990-10-01
1990,November,0.7,2.15,6.36,,,1990-11-01
1990,December,0.7,1.46,2.72,,,1990-12-01
1991,January,0.69,1.15,4.55,,,1991-01-01
1991,February,0.62,0.86,7.07,,,1991-02-01
1991,March,0.68,0.67,2.4,,,1991-03-01
1991,April,0.66,1.05,0.18,,,1991-04-01
1991,May,0.68,0.57,4.3,,,1991-05-01
1991,June,0.66,-0.01,-4.49,,,1991-06-01
1991,July,0.69,1.4,4.63,,,1991-07-01
1991,August,0.69,2.12,2.37,,,1991-08-01
1991,September,0.64,1.99,-1.63,,,1991-09-01
1991,October,0.62,1.09,1.39,,,1991-10-01
1991,November,0.61,0.89,-3.96,,,1991-11-01
1991,December,0.62,2.96,11.41,,,1991-12-01
1992,January,0.57,-1.35,-1.89,,,1992-01-01
1992,February,0.56,0.66,1.29,,,1992-02-01
1992,March,0.62,-0.53,-1.91,,,1992-03-01
1992,April,0.62,0.67,2.91,,,1992-04-01
1992,May,0.64,1.84,0.49,,,1992-05-01
1992,June,0.6,1.36,-1.45,,,1992-06-01
1992,July,0.6,2.0,4.11,,,1992-07-01
1992,August,0.57,1.0,-2.02,,,1992-08-01
1992,September,0.54,1.15,1.15,,,1992-09-01
1992,October,0.55,-1.3,0.42,,,1992-10-01
1992,November,0.56,0.01,3.39,,,1992-11-01
1992,December,0.58,1.54,1.21,,,1992-12-01
1993,January,0.58,1.88,0.86,,,1993-01-01
1993,February,0.49,1.73,1.35,,,1993-02-01
1993,March,0.52,0.41,2.09,,,1993-03-01
1993,April,0.51,0.67,-2.39,,,1993-04-01
1993,May,0.51,0.1,2.66,,,1993-05-01
1993,June,0.51,1.79,0.32,,,1993-06-01
1993,July,0.49,0.55,-0.38,,,1993-07-01
1993,August,0.49,1.72,3.78,,,1993-08-01
1993,September,0.45,0.26,-0.76,,,1993-09-01
1993,October,0.47,0.38,2.04,,,1993-10-01
1993,November,0.45,-0.84,-0.93,,,1993-11-01
1993,December,0.49,0.52,1.2,,,1993-12-01
1994,January,0.51,1.33,3.4,,,1994-01-01
1994,February,0.43,-1.72,-2.7,,,1994-02-01
1994,March,0.52,-2.45,-4.39,,,1994-03-01
1994,April,0.56,-0.81,1.28,,,1994-04-01
1994,May,0.6,-0.02,1.66,,,1994-05-01
1994,June,0.59,-0.24,-2.47,,,1994-06-01
1994,July,0.62,1.97,3.27,,,1994-07-01
1994,August,0.6,0.13,4.11,,,1994-08-01
1994,September,0.59,-1.47,-2.44,,,1994-09-01
1994,October,0.65,-0.1,2.24,,,1994-10-01
1994,November,0.64,-0.23,-3.62,,,1994-11-01
1994,December,0.68,0.69,1.49,,,1994-12-01
1995,January,0.67,1.98,2.58,,,1995-01-01
1995,February,0.59,2.38,3.87,,,1995-02-01
1995,March,0.62,0.6,2.94,,,1995-03-01
